,target_id,symbol,log2FC,pvalue,padj,statistic,baseMean
9465,NM_014950.3,ZBTB1,0.31090345,0.25496538,1,1.138371524,32.14224932
4211,NM_014951.3,ZNF365,-0.135925181,0.843506466,1,-0.197410305,3.337811498
10194,NM_014952.5,BAHD1,0.059469991,0.961592807,1,0.048154883,2.705093166
8771,NM_014953.5,DIS3,0.000410279,0.998917108,1,0.001357204,26.98798906
34211,NM_014954.4,RPH3A,NA,NA,NA,NA,0
3021,NM_014955.3,METTL13,-0.141311117,0.950964012,1,-0.061496236,0.431205793
6573,NM_014956.5,CEP164,0.39010574,0.411187236,1,0.821806144,11.35925112
29539,NM_014957.5,DENND3,-1.054182865,0.377286995,1,-0.882906123,3.155889388
16476,NM_014959.5,CARD8,0,1,1,0,0.065393247
13964,NM_014960.5,ARSG,1.130704136,0.594420088,1,0.532441733,0.694231927
23301,NM_014961.5,RUFY3,0.139675841,0.820963593,1,0.226305793,5.004829874
19329,NM_014962.4,BTBD3,0.254719191,0.613866605,1,0.504561858,9.963055393
14908,NM_014963.3,SBNO2,1.208820707,0.237178018,1,1.182069771,2.659644302
13020,NM_014964.4,EPN2,-0.12666185,0.978059234,1,-0.027502139,0.383531909
21415,NM_014965.5,TRAK1,0.360972061,0.615570966,1,0.502137269,6.360466752
10097,NM_014967.5,FAN1,-0.136132813,0.503018285,1,-0.669748254,46.50043664
3012,NM_014970.4,KIFAP3,-0.136735402,0.477858033,1,-0.70975185,60.62927251
17191,NM_014971.2,EFR3B,0.109970696,0.804528586,1,0.247490574,9.133855978
12479,NM_014972.3,TCF25,0.425026823,0.402769879,1,0.836684598,51.17619216
3649,NM_014974.3,DIP2C,-0.212027494,0.593304628,1,-0.534053344,12.49873359
