,targeet_id,symbol,log2FC,pvalue,padj,statistic,baseMean
5380,NM_004049.4,BCL2A1,0.441011523,0.244411761,0.481151735,1.164030231,15.20789573
5381,NM_003110.6,SP2,-0.573336801,0.244694571,0.481151735,-1.163332632,17.16958664
5382,NM_001135178.3,ZNF397,0.284489354,0.24452901,0.481151735,1.163740948,39.93305306
5383,NM_001040185.3,ZNF765,0.575486065,0.244641357,0.481151735,1.16346385,9.093972171
5384,NM_001077446.4,TSEN34,-0.538057333,0.244529692,0.481151735,-1.163739266,17.59146251
5385,NM_017546.5,CNOT11,0.231675223,0.24473796,0.481151735,1.163225655,71.57795751
5386,NM_001719.3,BMP7,-0.358298966,0.244824398,0.481151735,-1.163012581,33.01819254
5387,NM_001010872.3,FAM83B,0.511860237,0.244808581,0.481151735,1.163051567,11.79935955
5388,NM_001321247.2,VOPP1,0.909963599,0.244803505,0.481151735,1.163064078,12.01373916
5389,NM_001294333.2,ATP6V0B,0.470128769,0.244901313,0.481168536,1.162823025,13.36315382
5390,NM_030790.5,ITFG1,0.28423366,0.245051983,0.481168536,1.162451824,41.11292433
5391,NM_006855.4,KDELR3,0.296359772,0.24508475,0.481168536,1.162371116,36.51202137
5392,NM_015704.3,DESI1,-0.28120256,0.244971473,0.481168536,-1.162650154,40.71509283
5393,NM_152556.3,BMT2,0.438591636,0.245091795,0.481168536,1.162353766,17.37735982
5394,NM_001184735.1,ASTN2,0.287790771,0.245105589,0.481168536,1.162319794,46.92872601
5395,NM_007187.5,WBP4,0.299573309,0.245320283,0.481500737,1.161791216,34.75988471
5396,NM_001370327.1,SHPRH,0.38327483,0.245399352,0.481566668,1.161596629,22.4221068
5397,NM_013410.4,AK4,-0.647706058,0.24570332,0.481943589,-1.16084898,13.62901862
5398,NM_001290629.1,ADIPOR1,1.062214409,0.245727966,0.481943589,1.160788388,10.31731128
5399,NM_001258432.2,NDRG1,1.510666175,0.245697892,0.481943589,1.160862325,48.93633925
5400,NM_007034.5,DNAJB4,0.415461231,0.246255561,0.482085438,1.15949233,17.98725823
5401,NM_173156.3,SMG7,1.159561268,0.246201887,0.482085438,1.159624094,12.12159196
5402,NM_001276282.4,ATRNL1,0.513037527,0.246249148,0.482085438,1.159508073,9.542595598
5403,NM_182767.6,SLC6A15,0.324744151,0.246127532,0.482085438,1.15980666,32.1426701
5404,NM_178155.3,FUT8,0.547414391,0.246164726,0.482085438,1.159715332,18.02646084
5405,NM_003168.3,SUPT4H1,-0.154446107,0.245967418,0.482085438,-1.160199923,142.9249003
5406,NM_003610.4,RAE1,0.178147068,0.246255098,0.482085438,1.159493466,102.3559775
5407,NM_020640.4,DCUN1D1,0.377173227,0.246064905,0.482085438,1.15996046,20.18379002
5408,NM_002612.4,PDK4,0.513282393,0.24598259,0.482085438,1.160162652,10.8470515
5409,NM_016410.6,CHMP5,0.185566014,0.246012809,0.482085438,1.160088418,113.4845878
5410,NM_001287506.1,PPCS,0.644091203,0.246493316,0.482085492,1.158908911,20.79124322
5411,NM_001289068.2,HELLS,0.321469384,0.246452517,0.482085492,1.159008998,66.91082804
5412,NM_001267043.2,AEBP2,0.567353946,0.246660734,0.482085492,1.158498328,9.742082108
5413,NM_138704.4,NSMCE3,-0.57589234,0.246602534,0.482085492,-1.158641039,9.960104634
5414,NM_033286.3,KNSTRN,0.20655477,0.246512322,0.482085492,1.15886229,73.12826691
5415,NM_001303503.2,PPP4C,-7.021706407,0.246327326,0.482085492,-1.159316187,10.31608409
5416,NM_001174150.2,ARL13B,0.442278214,0.246618562,0.482085492,1.158601734,16.91887513
5417,NM_138386.3,NAF1,0.349466449,0.246435977,0.482085492,1.159049579,22.83281722
5418,NM_006558.3,KHDRBS3,0.311646301,0.246665331,0.482085492,1.158487055,28.66774153
